Organization Name,Crunchbase Profile Link,Last Funding Date,Total Funding Amount,Stage Track Stages,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter URL,LinkedIn URL,Number of Employees,Last Funding Amount,Founded Date
Real Estate Business Analytics,https://www.crunchbase.com/organization/real-estate-business-analytics,"Mar 4, 2026","$20,549,981",Not Started,"Information Technology, Rental, Software","Littleton, Colorado, United States",Real Estate Business Analytics is a data analytics software company providing budgeting and forecasting applications.,"14,917",https://www.getreba.com/,$1M to $10M,—,—,,https://www.linkedin.com/company/realestatebusinessanalytics/,51-100,"$2,975,000",2019
Moon,https://www.crunchbase.com/organization/moon-ba85,"Mar 4, 2026","$11,708,707",Not Started,Internet,"New York, New York, United States",Moon delivers secure and empowering technology for financial solutions that increase financial access,"15,658",https://moonte.ch/,$1M to $10M,"MoonPay, Creative Destruction Lab (CDL), Diverse Angels, Sprint Vc, New Form Capital",Creative Destruction Lab (CDL),,https://www.linkedin.com/company/paywithmoon/,11-50,"$8,658,707",2018
Rainbow Crops,https://www.crunchbase.com/organization/rainbow-crops,"Mar 4, 2026","$7,000,000",Not Started,"Agriculture, AgTech, Artificial Intelligence (AI)","Gent, Oost-Vlaanderen, Belgium","Rainbow Crops is a next-generation Agtech company developing climate-resilient, high-performing crop varieties.","19,903",https://www.rainbowcrops.com/,—,"Bill & Melinda Gates Foundation, Qbic Fund, PINC, Agri Investment Fund",Bill & Melinda Gates Foundation,,https://www.linkedin.com/company/rainbow-crops/,1-10,"$7,000,000",2024
Smith Micro Software,https://www.crunchbase.com/organization/smith-micro-software,"Mar 4, 2026","$118,136,195",Not Started,"Mobile, Mobile Devices, Software, Video, Wireless","Pittsburgh, Pennsylvania, United States",Smith Micro Software develops mobility solutions that enable broadband connectivity and mobile convergence products over wireless networks.,"21,743",http://www.smithmicro.com/,$10M to $50M,"Wells Fargo, Timothy Huffmyer, William Smith","Timothy Huffmyer, Wells Fargo, William Smith",https://x.com/smithmicro,http://www.linkedin.com/company/smith-micro-software,101-250,"$4,900,000","Nov 1, 1982"
Funny Water,https://www.crunchbase.com/organization/funny-water,"Mar 4, 2026","$9,996,000",Not Started,"Food and Beverage, Retail","Chicago, Illinois, United States",Funny Water is an alcoholic beverage that comes in different flavors.,"22,118",https://www.funnywater.com/,$1M to $10M,—,—,https://x.com/drinkfunnywater,https://www.linkedin.com/company/funny-water,1-10,"$4,696,000",2021
Observe Medical,https://www.crunchbase.com/organization/observe-medical,"Mar 4, 2026","NOK149,738,390",Not Started,"Health Care, Medical","Gothenburg, Vastra Gotaland, Sweden",Observe Medical Nordic AB develops digital monitoring equipment for kidney,"35,272",http://observemedical.com/,$1M to $10M,"Seed Capital, Navamedic, Innovation Norway, R Investments, Songa Capital AS","Innovation Norway, Line Tønnessen, Navamedic, Songa Capital AS",,https://www.linkedin.com/company/observe-medical,1-10,"NOK15,000,000",2010
Beijer Ref,https://www.crunchbase.com/organization/beijer-ref,"Mar 4, 2026","$1,531,769,272",Not Started,"Industrial Engineering, Industrial Manufacturing, Supply Chain Management","Malmö, Skane Lan, Sweden",Beijer Ref is a technology-oriented trading group with operations in cold and climate regulation.,"43,031",http://www.beijerref.com/,$1B to $10B,EQT,EQT,https://x.com/beijerrefau,https://www.linkedin.com/company/g&l-beijer,5001-10000,"SEK2,500,000,000",1866
RWB,https://www.crunchbase.com/organization/rwb,"Mar 4, 2026","RUB15,900,000,000",Not Started,"E-Commerce, Logistics","Moscow, Moscow City, Russian Federation",RWB is the merged entity of Russia's largest e-commerce platform Wildberries and the outdoor advertising operator Russ.,"83,550",https://rwb.ru/,—,—,—,,,—,"RUB15,900,000,000",—
Grow Therapy,https://www.crunchbase.com/organization/grow-therapy,"Mar 3, 2026","$328,000,000",Not Started,"Health Care, Medical, Mental Health, mHealth, Therapeutics","New York, New York, United States",Grow Therapy offers online therapy services that connects individuals with licensed therapists to support mental health.,102,https://growtherapy.com/,$50M to $100M,"Menlo Ventures, Sequoia Capital, TCV, Transformation Capital, SignalFire","Goldman Sachs Growth Equity, Sequoia Capital, SignalFire, TCV, Transformation Capital, Village Global",https://x.com/growtherapy_,https://www.linkedin.com/company/grow-therapy,501-1000,"$150,000,000",2020
YouLend,https://www.crunchbase.com/organization/youlend,"Mar 3, 2026","$225,000,000",Not Started,"Financial Services, FinTech","London, England, United Kingdom","YouLend is the leading global embedded financing platform for the world’s top e-commerce platforms, tech companies and PSPs.",294,https://youlend.com/,$100M to $500M,"Allianz Global Investors, JP Morgan, Varde Partners, Castlelake","Castlelake, JP Morgan, Varde Partners",,https://www.linkedin.com/company/youlend/,251-500,"$225,000,000",2015
Fig Security,https://www.crunchbase.com/organization/fig-security,"Mar 3, 2026","$38,000,000",Not Started,"Cyber Security, Network Security, Security","New York, New York, United States",Fig Security is a cybersecurity startup that detects gaps in operational data security infrastructure and maintains functionality.,377,https://www.fig.security/,—,"Team8, Ten Eleven Ventures, RSA Conference, René Bonvanie, Douglas Merritt","RSA Conference, Team8, Ten Eleven Ventures",,https://www.linkedin.com/company/fig-security,11-50,"$30,000,000",2025
findhelp,https://www.crunchbase.com/organization/findhelp,"Mar 3, 2026","$299,250,000",Not Started,"Computer, Consulting, Employment, GovTech, Internet, Software","Austin, Texas, United States","findhelp is a technology for connecting people to social care, findhelp seamlessly operates with existing systems.",386,https://company.findhelp.com/,$100M to $500M,"Techstars, Warburg Pincus, The Rise Fund, Capital Factory, Pershing Square Capital Management","Noro-Moseley Partners, Techstars, The Rise Fund, Warburg Pincus",https://x.com/AuntBertha,https://www.linkedin.com/company/find-help,101-250,"$250,000,000",2010
Antiverse,https://www.crunchbase.com/organization/antiverse,"Mar 3, 2026","$19,292,608",Not Started,"Artificial Intelligence (AI), Biotechnology, Health Care, Life Science, Machine Learning","Cardiff, Cardiff, United Kingdom",Antiverse is dedicated to engineering the future of drug development to change the course of people's lives.,516,http://antiverse.io/,$1M to $10M,"Totipotent Capital, Development Bank of Wales, Tensor Ventures, Future Planet Capital, SyndicateRoom","Accelerate@Babraham, i&i Biotech Fund, Innospark Ventures, Kadmos Capital, Soulmates Ventures, UK Innovation & Science Seed Fund, VentureOut",,https://www.linkedin.com/company/11126341/,11-50,"$9,300,000",Apr 2017
Gradient AI,https://www.crunchbase.com/organization/gradient-a-i,"Mar 3, 2026","$123,184,323",Not Started,"Artificial Intelligence (AI), Insurance, InsurTech, Machine Learning","Boston, Massachusetts, United States","Gradient AI provides AI solutions for the insurance industry, leveraging vast industry data for accurate predictions.",620,https://www.gradientai.com/,$10M to $50M,"American Family Ventures, Stone Point Capital, Centana Growth Partners, CIBC Innovation Banking, MassMutual Ventures","American Family Ventures, Centana Growth Partners, CIBC Innovation Banking, Forté Ventures",https://x.com/GradientAI1,https://www.linkedin.com/company/gradientai,101-250,—,2012
Qnovo,https://www.crunchbase.com/organization/qnovo,"Mar 3, 2026","$40,600,000",Not Started,"Automotive, Battery, Consumer Electronics, Electric Vehicle, Enterprise Software, Mobile Devices","Milpitas, California, United States",Award-winning battery intelligence software provider,786,http://www.qnovo.com/,Less than $1M,"U.S. Venture Partners, Intel Capital, BlueRun Ventures, BorgWarner, Hyundai Motor Company","BorgWarner, Hyundai Motor Company, Kia Motors",https://x.com/qnovocorp,https://www.linkedin.com/company/qnovo-inc/,11-50,—,2010
RenoFi,https://www.crunchbase.com/organization/renofi,"Mar 3, 2026","$44,686,569",Not Started,"Commercial Lending, Finance, Financial Services, FinTech, Lending","Philadelphia, Pennsylvania, United States",RenoFi is a financial technology company that focuses on providing renovation-focused lending solutions and related services.,906,https://renofi.com/,$1M to $10M,"Alumni Ventures, Gaingels, Fifth Wall, Nyca Partners, First Round Capital","Canaan Partners, Fifth Wall, First Round Capital",https://x.com/RenoFiNow,https://www.linkedin.com/company/renofi,101-250,"$22,000,000",2018
Rosebank Industries,https://www.crunchbase.com/organization/rosebank-industries,"Mar 3, 2026","£1,912,000,000",Not Started,—,"London, England, United Kingdom",Rosebank Industries is an investment holding company that focuses on acquiring and enhancing industrial and manufacturing businesses.,"1,056",https://www.rosebankindustries.com/,—,—,—,,,1-10,"£1,912,000,000",2003
KeyCare,https://www.crunchbase.com/organization/keycare,"Mar 3, 2026","$54,400,000",Not Started,"Health Care, Hospital","Chicago, Illinois, United States",KeyCare is a virtual care platform powered by Epic created to support progressive health systems.,"1,313",https://www.keycare.org/,$1M to $10M,"8VC, LRVHealth, HealthX Ventures, Exact Sciences, Bold Capital Partners","8VC, HealthX Ventures, Ziegler",,https://www.linkedin.com/company/keycareinc,1-10,"$27,400,000",2022
JetStream Security,https://www.crunchbase.com/organization/jetstream-security,"Mar 3, 2026","$34,000,000",Not Started,Information Technology,"Santa Clara, California, United States","JetStream Security is a platform for enterprise AI governance and security designed to manage, safeguard.","1,535",https://jetstream.security/,—,"Redpoint, CrowdStrike Falcon Fund, Frederic Kerrest, Assaf Rappaport, George Kurtz",Redpoint,,https://www.linkedin.com/company/jetstreaminc,51-100,"$34,000,000",2025
Enery,https://www.crunchbase.com/organization/enery,"Mar 3, 2026","€924,450,000",Not Started,"Construction, Renewable Energy, Solar","Vienna, Wien, Austria","Enery is a renewable energy company that develops and constructs solar energy plants for communities, businesses, and power networks.","1,871",https://enery.energy/,$1M to $10M,"UniCredit, Intesa Sanpaolo, National Bank of Greece, Alpha Bank, CSOB","CSOB, DSK Bank",,https://www.linkedin.com/company/enery/,251-500,"€460,000,000",2019
Vertiv,https://www.crunchbase.com/organization/vertiv,"Mar 3, 2026","$5,839,000,000",Not Started,"Data Center, Information Technology, IT Infrastructure, Telecommunications","Westerville, Ohio, United States","Vertiv designs, builds and services critical infrastructure that enables vital applications for data centers and industrial facilities.","1,951",https://www.vertiv.com/,$1B to $10B,"Goldman Sachs, Platinum Equity, Starboard Value, David Cote","Platinum Equity, Starboard Value",https://x.com/Vertiv,https://www.linkedin.com/company/Vertiv,10001+,"$4,600,000,000","Dec 1, 2016"
Crescent Energy,https://www.crunchbase.com/organization/crescent-energy-8587,"Mar 3, 2026","$5,776,000,000",Not Started,"Energy, Energy Efficiency, Oil and Gas","Houston, Texas, United States",Crescent Energy is an energy company delivering value for shareholders through acquisition strategy and consistent return of capital.,"1,991",https://www.crescentenergyco.com/,$500M to $1B,—,—,https://x.com/crescent_energy,https://www.linkedin.com/company/crescent-energy-co,501-1000,"$600,000,000",2002
Breezeway,https://www.crunchbase.com/organization/breezeway,"Mar 3, 2026","$36,248,012",Not Started,"Internet, Property Management, Rental, Rental Property, Software","Boston, Massachusetts, United States",Breezeway is a property care and services platform designed to reduce the headaches of property management.,"2,135",https://www.breezeway.io/,$10M to $50M,"Resurgens Technology Partners, Morningside, Catalyst Investors, LaunchCapital, Schooner Capital","Catalyst Investors, Resurgens Technology Partners, Schooner Capital, Tamarisc Ventures",https://x.com/heybreezeway,https://www.linkedin.com/company/breezeway,51-100,—,2015
Bindbridge,https://www.crunchbase.com/organization/bindbridge,"Mar 3, 2026","$7,562,130",Not Started,"Agriculture, AgTech, Artificial Intelligence (AI), Biotechnology","London, England, United Kingdom",Bindbridge is an AgTech company that applies artificial intelligence to discover and design molecular glues for crop protection.,"2,246",https://www.bindbridge.com/,—,"Speedinvest, Nucleus Capital","Nucleus Capital, Speedinvest",,https://www.linkedin.com/company/bindbridge,1-10,"$3,800,000","Sep 27, 2024"
ArmorCode,https://www.crunchbase.com/organization/armorcode-inc,"Mar 3, 2026","$81,000,000",Not Started,"Cyber Security, Information Technology, Network Security, Software","Palo Alto, California, United States",ArmorCode offers an AppSecOps platform that reduces application exposure and risk for customers.,"2,376",https://www.armorcode.com/,$1M to $10M,"Tau Ventures, Sierra Ventures, Cervin Ventures, Ballistic Ventures, Highland Capital Partners","Ballistic Ventures, Cervin Ventures, Cheyenne Ventures, Highland Capital Partners, Sierra Ventures",https://x.com/code_armor,https://www.linkedin.com/company/armorcode,101-250,"$16,000,000",Jul 2020
Seaport Therapeutics,https://www.crunchbase.com/organization/seaport-therapeutics,"Mar 3, 2026","$340,000,000",Not Started,"Biopharma, Biotechnology, Therapeutics","Boston, Massachusetts, United States",Seaport Therapeutics is a clinical-stage biopharmaceutical company that develops neuropsychiatric medicines.,"2,379",https://seaporttx.com/,—,"General Atlantic, ARCH Venture Partners, Foresite Capital, Advanced Research Projects Agency for Health, T. Rowe Price","Advanced Research Projects Agency for Health, ARCH Venture Partners, General Atlantic, Sofinnova Investments",,https://www.linkedin.com/company/seaport-therapeutics,101-250,"$15,000,000",2024
Polares Medical,https://www.crunchbase.com/organization/polares-medical,"Mar 3, 2026","$115,000,000",Not Started,"Health Care, Medical, Medical Device","Palo Alto, California, United States",Polares medical is a medical device company with a novel device for treating mitral valve regurgitation.,"2,567",https://www.polaresmedical.com/,$1M to $10M,"Lumination Partners, Wellington Partners, Longitude Capital, Earlybird Venture Capital, Decheng Capital","Decheng Capital, Lumination Partners",,,11-50,"$50,000,000","May 9, 2017"
Lucid Bots,https://www.crunchbase.com/organization/lucid-drone-technologies,"Mar 3, 2026","$16,432,355",Not Started,"Drones, Industrial Automation, Robotics","Charlotte, North Carolina, United States",Lucid builds robots for labor-intensive tasks.,"3,258",https://lucidbots.com/,$1M to $10M,"Y Combinator, AltaIR Capital, Cubit Capital, Founders, Inc., Zeno Partners","Cubit Capital, Toloka.vc, Y Combinator",https://x.com/lucid_bots,https://www.linkedin.com/company/lucid-bots,51-100,"$745,000",Jan 2018
baCta,https://www.crunchbase.com/organization/bacta,"Mar 3, 2026","€10,300,000",Not Started,Plastics and Rubber Manufacturing,"Paris, Ile-de-France, France",baCta engineer microorganisms to produce rubber from carbon.,"3,565",https://www.bacta.life/,—,"Adèle James, LocalGlobe, Daphni, Kima Ventures, OVNI Capital","Daphni, LocalGlobe, OVNI Capital",,https://www.linkedin.com/company/bactabio/about/,1-10,"€7,000,000",2024
Pinterest,https://www.crunchbase.com/organization/pinterest,"Mar 3, 2026","$2,486,100,000",Not Started,"Internet, Social Bookmarking, Social Media, Social Network, Software","San Francisco, California, United States",Pinterest is a visual bookmarking tool for saving and discovering creative ideas.,"3,679",https://www.pinterest.com/,$1B to $10B,"Andreessen Horowitz, Wellington Management, Bessemer Venture Partners, FirstMark, Slow Ventures","Andreessen Horowitz, Bessemer Venture Partners, Brandtech Ventures, Elliott Management Corp., Fidelity, FirstMark, Goldman Sachs Investment Partners, Rakuten, SV Angel, Valiant Capital Partners, Wellington Management",https://x.com/Pinterest,http://www.linkedin.com/company/pinterest,1001-5000,"$1,000,000,000",Mar 2010
Brooklyn Dumpling Shop,https://www.crunchbase.com/organization/brooklyn-dumpling-shop,"Mar 3, 2026","$7,083,944",Not Started,"Delivery, Food and Beverage, Restaurants","New York, New York, United States",Brooklyn Dumpling Shop specializes in serving various dumplings combining traditional and innovative dumpling flavors.,"3,687",https://www.brooklyndumplingshop.com/,—,"Keith Lee, Branded Hospitality, RSE Ventures","Branded Hospitality, Keith Lee, RSE Ventures",,https://www.linkedin.com/company/brooklyndumplingshop/,11-50,—,2021
BluePath Finance,https://www.crunchbase.com/organization/bluepath-finance,"Mar 3, 2026","$122,292,000",Not Started,"Finance, Financial Services, Infrastructure","San Francisco, California, United States",BluePath Finance is an investment firm that primarily funds infrastructure projects.,"3,726",https://www.bluepathfinance.com/index.html,$1M to $10M,"TWG Global, WindSail Capital Group",TWG Global,,https://www.linkedin.com/company/bluepath-finance-llc/,11-50,—,2012
Purchasing Power,https://www.crunchbase.com/organization/purchasing-power,"Mar 3, 2026","$620,000,000",Not Started,"Employee Benefits, Finance, Personal Finance","Atlanta, Georgia, United States",Purchasing Power provides employee purchase programs for brand-name products through payroll deduction.,"3,859",http://www.purchasingpower.com/,$100M to $500M,"Bregal Sagemount, Comvest Credit Partners, Waterfall Asset Management, Rockbridge Growth Equity, Kroll Bond Rating Agency","Barclays Bank, Bregal Sagemount, Comvest Credit Partners, Kroll Bond Rating Agency",https://x.com/purchasingpower,https://www.linkedin.com/company/purchasing-power,251-500,"$225,000,000",2001
National Funding,https://www.crunchbase.com/organization/national-funding,"Mar 3, 2026","$450,000,000",Not Started,"Finance, Financial Services, FinTech","San Diego, California, United States","National Funding: the financial technology solution for businesses nationwide. We provide capital, financing, and other merchant services.","4,374",https://www.nationalfunding.com/,$10M to $50M,"Guggenheim Securities, Wells Fargo Capital Finance, CapitalSource",Guggenheim Securities,https://x.com/nationalfunding,http://www.linkedin.com/company/national-funding,101-250,"$75,000,000",1999
JobLogic,https://www.crunchbase.com/organization/joblogic,"Mar 3, 2026","£160,000,000",Not Started,"Business Development, Computer, Software","Birmingham, Birmingham, United Kingdom",Joblogic is a developer of cloud-based field service management software that offers solutions for service and maintenance contractors.,"4,412",https://www.joblogic.com/,$10M to $50M,"Vista Equity Partners, LGPS Central, Axiom Equity","Axiom Equity, LGPS Central, Vista Equity Partners",https://x.com/JoblogicWFM,https://www.linkedin.com/company/job-logic,101-250,—,1998
Rent2Cash,https://www.crunchbase.com/organization/rent2cash-bb54,"Mar 3, 2026","€103,000,000",Not Started,"Financial Services, FinTech","Roma, Lazio, Italy",Rent2Cash is an innovative company that marks a new frontier in the intersection between finance and real estate.,"4,853",https://www.rent2cash.it/,—,—,—,,https://www.linkedin.com/company/rent2cash,1-10,"€100,000,000",2023
Scripps Institution of Oceanography,https://www.crunchbase.com/organization/scripps-institution-of-oceanography,"Mar 3, 2026","$30,228,542",Not Started,"Alumni, Education, Information Technology","La Jolla, California, United States",Scripps Institution of Oceanography educates and researches the impacts and hazards of climate change on the planet.,"4,892",https://scripps.ucsd.edu/,$100M to $500M,"US Department of Commerce, Economic Development Administation, Paul G. Allen Family Foundation, National Oceanic and Atmospheric Administration, Fund for Science and Technology, State of California","Fund for Science and Technology, National Oceanic and Atmospheric Administration, Paul G. Allen Family Foundation, State of California, US Department of Commerce, Economic Development Administation",https://x.com/Scripps_Ocean,https://www.linkedin.com/company/scripps-institution-of-oceanography,1001-5000,"$15,000,000",1903
Völur,https://www.crunchbase.com/organization/v%C3%B6lur,"Mar 3, 2026","$10,971,491",Not Started,"Artificial Intelligence (AI), Food Processing, Machine Learning","Oslo, Oslo, Norway",Völur is an AI-based technology company that optimizes the cutting and processing of sustainable meat.,"4,930",https://volur.no/,—,"Steiger Family Trust, Fusion Fund, Scribble Ventures, Serra Ventures, Startuplab","Fusion Fund, Innovation Norway",,https://www.linkedin.com/company/v%C3%B6lur/,11-50,—,2019
Zapia AI,https://www.crunchbase.com/organization/zapia-ai,"Mar 3, 2026","$14,211,364",Not Started,"Artificial Intelligence (AI), Information Technology, Machine Learning","Menlo Park, California, United States","Zapia, an AI personal assistant that uses WhatsApp to complete tasks","5,451",https://zapia.com/en,$1M to $10M,"Endeavor Catalyst, Prosus Ventures, Anthos Capital, SNR.vc, Factory",Prosus Ventures,https://x.com/zapiaai,https://www.linkedin.com/company/zapia-ai,1-10,"R$36,000,000",2023
Latent AI,https://www.crunchbase.com/organization/latent-ai,"Mar 3, 2026","$22,500,000",Not Started,"Artificial Intelligence (AI), Computer, Machine Learning, Software","Princeton, New Jersey, United States",Latent AI accelerates AI implementation and workflows for the enterprise cost-effectively anywhere on the edge continuum with Adaptive AI.,"6,346",http://latentai.com/,$1M to $10M,"Voyager Technologies, Autotech Ventures, Lockheed Martin Ventures, Future Ventures, Booz Allen Hamilton","AUM Ventures, Blackhorn Ventures, Future Ventures, Voyager Technologies",https://x.com/latentai,https://www.linkedin.com/company/latent-ai-inc/about/?viewAsMember=true,11-50,—,2018
Avava,https://www.crunchbase.com/organization/avava-39b8,"Mar 3, 2026","$58,816,033",Not Started,Health Care,"Waltham, Massachusetts, United States",Avava is a Pioneer precision skin therapy to improve the quality of life for patients around the world.,"6,545",https://avavaskin.com/,—,"Catalio Capital Management, Jeisys Medical","Catalio Capital Management, Jeisys Medical",,https://www.linkedin.com/company/avavamedical,11-50,"$19,612,101",2016
NRG Energy,https://www.crunchbase.com/organization/nrg-energy,"Mar 3, 2026","$9,336,200,000",Not Started,"Energy, Solar, Wind Energy","Houston, Texas, United States","NRG Energy is an integrated power generation and supply firm that offers offsite solar, wind power, and smart grid retail services.","7,088",http://www.nrg.com/,$10B+,"Elliott Management Corp., Bluescape Energy Partners, Public Utility Commission of Texas",Public Utility Commission of Texas,https://x.com/nrgenergy,http://www.linkedin.com/company/7136,10001+,"$2,345,200,000",1989
Enpulsion,https://www.crunchbase.com/organization/enpulsion,"Mar 3, 2026","€25,900,000",Not Started,"Aerospace, Intelligent Systems","Wiener Neustadt, Niederosterreich, Austria",Enpulsion is commercializing a Field Emission Electric Propulsion,"7,272",http://www.enpulsion.com/,$1M to $10M,Nordwind Growth,Nordwind Growth,https://x.com/enpulsion,https://www.linkedin.com/company/enpulsion/,51-100,"€22,500,000",2016
Aegle Therapeutics,https://www.crunchbase.com/organization/aegle-therapeutics,"Mar 3, 2026","$9,955,695",Not Started,"Biotechnology, Clinical Trials, Therapeutics","Miami, Florida, United States",Aegle Therapeutics is a clinical-stage regenerative medicine company that develops novel therapeutics.,"7,878",http://aegletherapeutics.com/,$1M to $10M,"DeepWork Capital, Ocean Azul Partners, DEFTA Partners, New World Angels, Tellus BioVentures",New World Angels,,https://www.linkedin.com/company/aegletherapeutics,1-10,"$455,695",2013
MacroCycle Technologies,https://www.crunchbase.com/organization/macrocycle,"Mar 3, 2026","$10,924,998",Not Started,"CleanTech, Plastics and Rubber Manufacturing, Recycling","Cambridge, Massachusetts, United States",MacroCycle Technologies is a cleantech company that develops sustainable and zero-carbon plastic upcycling solutions.,"8,574",https://www.macrocycle.tech/,—,"Collaborative Fund, Breakthrough Energy Ventures, Clean Energy Ventures, KdT Ventures, Neotribe Ventures","Breakthrough Energy Ventures, Clean Energy Ventures, Massachusetts Clean Energy Center, MassVentures, Volta Circle",,https://www.linkedin.com/company/macrocycle-technologies,1-10,"$2,999,998",Jul 2023
Prolium,https://www.crunchbase.com/organization/prolium,"Mar 3, 2026","$50,000,000",Not Started,"Biotechnology, Clinical Trials, Medical","New York, New York, United States","Prolium is a biotechnology company, which specializes in providing breakthrough therapies to the patients with autoimmune diseases.","9,046",https://www.proliumbio.com./index.html,—,RTW Investments,RTW Investments,,https://www.linkedin.com/company/prolium-bio/,1-10,"$50,000,000",2025
Sensible Care,https://www.crunchbase.com/organization/sensible-care,"Mar 3, 2026","$15,834,609",Not Started,"Health Care, Internet, Therapeutics","Laguna Hills, California, United States",Sensible Care is a healthcare company that offers comprehensive care for mental illness in-clinic and online.,"9,122",https://www.sensiblecare.com/,$1M to $10M,"Volition Capital, Skyline Investors, Agility Capital","Skyline Investors, Volition Capital",https://x.com/SensibleCare,https://www.linkedin.com/company/sensiblecare/,101-250,"$2,334,609",2017
Missoni Spa,https://www.crunchbase.com/organization/missoni-spa,"Mar 3, 2026","€70,000,000",Not Started,"Apparel, Fashion, Lifestyle","Varese, Lombardia, Italy","Missoni Spa is an online platform that offers knitwear apparels for men, women, and kids.","9,542",https://www.missoni.com/,Less than $1M,"Katjes International, CDP Equity","CDP Equity, Katjes International",https://x.com/missoni/,https://www.linkedin.com/company/missoni-s-p-a-/,251-500,—,1953
HubiFi,https://www.crunchbase.com/organization/hubifi,"Mar 3, 2026","$11,999,996",Not Started,"Information Technology, SaaS, Software","Columbus, Ohio, United States",SaaS Financial Automation & Analysis for High Transaction Businesses,"9,718",https://www.hubifi.com/,—,"Anthemis, Rev1 Ventures, Motivate Venture Capital","Anthemis, Motivate Venture Capital, Rev1 Ventures",,https://www.linkedin.com/company/hubifi/,1-10,"$9,499,996","Aug 1, 2023"
MCQ Markets,https://www.crunchbase.com/organization/mcq-markets,"Mar 3, 2026","$7,657,345",Not Started,"Financial Services, FinTech, Marketplace","Miami, Florida, United States",MCQ Markets is reinventing luxury asset ownership by making exotic autos more accessible with its revolutionary fractional ownership model.,"10,996",https://www.mcqmarkets.com/,Less than $1M,Sol Global Investments,Sol Global Investments,,https://www.linkedin.com/company/mcqmarkets/,11-50,"$5,325,000",2023
Heliup,https://www.crunchbase.com/organization/heliup,"Mar 3, 2026","€26,000,000",Not Started,"Manufacturing, Renewable Energy, Solar","Le Bourget-du-lac, Rhone-Alpes, France",Heliup is a company that creates and manufactures solar systems for huge building roofs.,"11,522",https://www.heliup-solar.com/,$1M to $10M,"Bpifrance, Supernova Invest, EIT InnoEnergy, Starquest Capital, Lita.co","Starquest Capital, Supernova Invest",,https://www.linkedin.com/company/heliup,11-50,"€16,000,000",2022
EGI Battery,https://www.crunchbase.com/organization/egi-battery,"Mar 3, 2026","$10,000,000",Not Started,"Battery, Manufacturing","Ann Arbor, Michigan, United States","EGI Battery manufactures batteries for autonomous systems, aviation, robotics, and mobility.","11,920",https://egibattery.com/,—,TSVC,TSVC,,https://www.linkedin.com/company/egi-battery/,11-50,"$10,000,000",2025
Scrap Management Industries,https://www.crunchbase.com/organization/scrap-management-industries,"Mar 3, 2026","$120,000,000",Not Started,"Environmental Engineering, Recycling, Waste Management","Kansas City, Missouri, United States",Scrap Management Industries is an environmental engineering company that offers scrap metal recycling services.,"12,126",https://www.smirecyclers.com/,$1M to $10M,Eldridge,Eldridge,https://x.com/smi_recyclers,https://www.linkedin.com/company/smi-recyclers,51-100,"$120,000,000",1973
TARGAN,https://www.crunchbase.com/organization/applied-lifesciences-systems,"Mar 3, 2026","$151,634,999",Not Started,"Aquaculture, Biotechnology, Innovation Management, Life Science","Morrisville, North Carolina, United States","TARGAN is a bio-systems company focused on improving animal health and productivity in the poultry, livestock, and aquaculture industries.","14,218",https://www.targan.com/,$1M to $10M,"National Science Foundation, Novaquest Capital Management, Oval Park Capital, Merck Animal Health, Mountain Group Capital","Merck Animal Health, Merck Animal Health Ventures, Mountain Group Capital, National Science Foundation, Novaquest Capital Management, Symbiotic Capital",,https://www.linkedin.com/company/targan-inc/,101-250,"$100,000,000",2011
Amer Sports,https://www.crunchbase.com/organization/amer-sports-corp,"Mar 3, 2026","$2,852,000,000",Not Started,"Consumer Goods, Sporting Goods, Sports","Helsinki, Southern Finland, Finland","Amer Sports is a sporting goods company with internationally recognized brands including Salomon, Wilson, Atomic, Arc’teryx, Mavic, Suunto.","16,468",https://www.amersports.com/,$1B to $10B,—,—,https://x.com/amer_sports,https://www.linkedin.com/company/amer-sports/,10001+,"$750,000,000",1950
Battalion Oil,https://www.crunchbase.com/organization/battalion-oil,"Mar 3, 2026","$35,000,000",Not Started,"Energy, Industrial, Oil and Gas","Houston, Texas, United States","Battalion Oil is an independent energy company that produced acquisition, production, exploration and development of liquids-rich assets.","19,149",https://battalionoil.com/,$100M to $500M,—,—,,https://www.linkedin.com/company/battalion-oil-corporation/,51-100,"$15,000,000","Feb 5, 2004"
RIFT,https://www.crunchbase.com/organization/rift-6db0,"Mar 3, 2026","€126,800,000",Not Started,"Clean Energy, Renewable Energy","Eindhoven, Noord-Brabant, The Netherlands",RIFT is a startup on a mission towards a sustainable future that is powered by clean and renewable energy.,"19,761",https://www.ironfueltechnology.com/,$10M to $50M,"Invest-NL, Breakthrough Energy Ventures, Rubio Impact Ventures, BOM, OostNL","PGGM Investments, Rubio Impact Ventures, The European Innovation Fund",,https://nl.linkedin.com/company/renewableironfueltechnology,11-50,"€83,100,000",2020
