"Organization Name","Last Funding Date","Total Funding Amount","Stage","Industries","Headquarters Location","Description","CB Rank (Company)","Website","Estimated Revenue Range","Top 5 Investors","Lead Investors"
"Field AI","Feb 22, 2026","$405,000,000","Not Started","Enterprise Software, Robotic Process Automation (RPA), Robotics","Mission Viejo, California, United States","Field AI develops autonomy software that equips mobile robots with a universal, risk-aware brain.","1,127","https://www.fieldai.com/","—","Temasek Holdings, Khosla Ventures, NVentures, Samsung NEXT, Intel Capital","Bezos Expeditions, Hyundai Motor Group, Prysm Capital, Temasek Holdings"
"Candel Therapeutics","Feb 19, 2026","$521,900,000","Not Started","Biotechnology, Genetics, Health Care, Health Diagnostics, Medical, Therapeutics","Needham, Massachusetts, United States","Candel Therapeutics develops cancer immunotherapies designed to improve the lives of cancer patients and their families.","1,144","https://www.candeltx.com/","$50M to $100M","RTW Investments, Sands Capital Ventures, Trinity Capital, Silicon Valley Bank, Northpond Ventures","National Securities Corporation, Northpond Ventures, PBM Capital Group, RTW Investments, Silicon Valley Bank, Trinity Capital"
"MightyFly","Feb 12, 2026","$21,091,498","Not Started","Aerospace, Autonomous Vehicles, Delivery Service, Drones, Freight Service, GreenTech, Logistics, Robotics, Transportation","San Francisco, California, United States","Autonomous, Expedited, Unmatched Aerial Deliveries","1,145","http://mightyfly.com/","$1M to $10M","500 Global, Draper Associates, Halogen Ventures, At One Ventures, Global Founders Capital","—"
"KORE Wireless","Feb 27, 2026","$560,000,000","Not Started","Information Services, Information Technology, Internet, IT Management, Software, Supply Chain Management, Telecommunications, Wireless","Alpharetta, Georgia, United States","KORE Wireless is a trusted advisor delivering mission-critical IoT solutions and services.","1,151","https://www.korewireless.com/","$100M to $500M","BlackRock, ABRY Partners, Searchlight Capital Partners, Whitehorse Capital, Koch Strategic Platforms","Searchlight Capital Partners, Whitehorse Capital"
"Bakkt","Feb 27, 2026","$1,005,625,000","Not Started","Cryptocurrency, Financial Services, FinTech, Loyalty Programs","Alpharetta, Georgia, United States","Bakkt is a trusted digital asset platform that enables its customers to buy, sell, spend, send, and redeem digital assets.","1,161","https://www.bakkt.com/","$1B to $10B","CMT Digital, Pantera Capital, Galaxy Digital, M12 - Microsoft's Venture Fund, The Boston Consulting Group","CMT Digital, Goldfinch Partners, Pantera Capital, PayU GPO, The Boston Consulting Group"
"MeltPlan","Feb 26, 2026","$17,409,999","Not Started","Artificial Intelligence (AI), Productivity Tools, SaaS, Software","Berkeley, California, United States","MeltPlan is an AI-native planning engine designed for construction, focusing on automating takeoffs and ensuring building code compliance.","1,175","http://meltplan.com/","—","Bessemer Venture Partners, noa","Bessemer Venture Partners"
"InScope","Feb 20, 2026","$18,800,000","Not Started","Accounting, Artificial Intelligence (AI), Enterprise Software, Software","San Francisco, California, United States","Inscope is an AI-driven financial reporting platform designed specifically for accounting firms and enterprises.","1,179","https://www.inscopehq.com/","—","Lightspeed Venture Partners, Norwest, Storm Ventures, Better Tomorrow Ventures, Vipul Ved Prakash","Lightspeed Venture Partners, Norwest"
"Prophet Security","Feb 25, 2026","$41,000,000","Not Started","Artificial Intelligence (AI), Computer, Network Security, Security","Palo Alto, California, United States","Prophet Security delivers an AI-driven security operations center (SOC) platform that automates alert triage, investigation, and response.","1,198","https://www.prophet.security/","—","Accel, Bain Capital Ventures, Citi Ventures, Amex Ventures","Accel, Amex Ventures, Bain Capital Ventures, Citi Ventures"
"MAIA Biotechnology","Mar 2, 2026","$75,676,389","Not Started","Biotechnology, Health Care, Oncology, Therapeutics","Chicago, Illinois, United States","MAIA Biotechnology is a clinical-stage biopharmaceutical company developing cancer therapies that target telomeres through immunotherapy.","1,205","https://maiabiotech.com/","—","National Institutes of Health, Checkmate Capital, KIZOO Technology Capital, MDL Investments, Benjamin Kong","BRK Financial Group, Checkmate Capital, MDL Investments, National Institutes of Health, Stan V. Smith"
"World View Enterprises","Mar 2, 2026","$83,925,985","Not Started","Aerospace, Military, National Security, Remote Sensing, Space Travel","Tucson, Arizona, United States","World View is a stratospheric exploration company delivering remote sensing and space tourism from the stratosphere.","1,211","https://www.worldview.space/","$10M to $50M","Norwest, Accel, Base Ventures, Canaan Partners, Ondas Networks","Accel, Breakthrough Victoria, Canaan Partners, Ondas Networks, Sierra Nevada Corporation"
"STARK","Feb 13, 2026","$77,307,037","Not Started","Military, Physical Security","Berlin, Berlin, Germany","STARK is a new type of military firm that provides the systems that Europe and NATO require today.","1,212","https://stark-defence.com/","—","Sequoia Capital, 8VC, Founders Fund, Project A Ventures, NATO Innovation Fund","Founders Fund, Sequoia Capital"
"Multitude Insights","Feb 27, 2026","$10,000,000","Not Started","Document Management, Law Enforcement, Legal Tech, Public Safety","Watertown, Massachusetts, United States","Multitude Insights develops software solutions to enhance real-time intelligence sharing among law enforcement agencies.","1,222","https://www.multitudeinsights.com/","—","Alumni Ventures, Primary Venture Partners, NEC Orchestrating Future Fund, Commonweal Ventures, SBXi","Commonweal Ventures, NEC X, Primary Venture Partners"
"Cognito Therapeutics","Mar 5, 2026","$321,765,300","Not Started","Biotechnology, Health Diagnostics, Medical Device, Neuroscience, Therapeutics","Cambridge, Massachusetts, United States","Cognito Therapeutics develops neurotechnology therapies to treat neurodegenerative diseases by stimulating specific brain activity patterns.","1,224","https://www.cognitotx.com/","$1M to $10M","Apollo Health Ventures, IAG Capital Partners, OpAmp Capital, Morningside, FoundersX Ventures","FoundersX Ventures, IAG Capital Partners, Morningside, Starbloom Capital"
"Handl Health","Feb 23, 2026","$18,820,000","Not Started","Employee Benefits, Health Care","Los Angeles, California, United States","Price transparency platform that helps benefits consultants convert more business, retain clients and execute on savings goals.","1,228","https://www.handlhealth.com/","$1M to $10M","Techstars, Plug and Play, Everywhere Ventures, Arthur Ventures, Tau Ventures","AlphaLab Health, Arthur Ventures, BrokerTech Ventures, Everywhere Ventures, Mucker Capital, National Institute of Nursing Research, Techstars"
"LanzaJet","Feb 19, 2026","$311,521,005","Not Started","Air Transportation, Biofuel, Fuel","Illinois City, Illinois, United States","LanzaJet is a provider and producer of Sustainable Aviation Fuel (SAF) technology, dedicated to accelerating the transition to clean energy.","1,229","https://www.lanzajet.com/","$1M to $10M","LanzaTech, Breakthrough Energy Ventures, Shell, Builders Vision, US Department of Energy","Airbus, Breakthrough Energy Ventures, Groupe ADP, International Airlines Group (IAG), Microsoft Climate Innovation Fund, Mitsubishi UFJ Financial Group, Mitsui & Co, Shell, Shell Oil Company, Southwest Airlines, Suncor Energy, UK Department for Transport, US Department of Energy"
"Drone Nerds","Feb 11, 2026","$20,000,000","Not Started","Retail","Aventura, Florida, United States","Drone Nerds is the largest UAV dealer.","1,242","https://www.dronenerds.com/","$100M to $500M","JPMorgan Chase & Co.","JPMorgan Chase & Co."
"Trener Robotics","Feb 10, 2026","$38,225,000","Not Started","Artificial Intelligence (AI), Intelligent Systems, Robotics, Software","San Francisco, California, United States","Trener Robotics is a robot software company that uses the inference power to detect and execute tasks based on natural language commands","1,258","https://trener.ai/","—","Techable VC, Geodesic Capital, SkyDeck Berkeley, Engine Ventures, Fitz Gate Ventures","Emergent Ventures, Engine Ventures, IAG Capital Partners"
"Deeptune","Feb 23, 2026","$48,307,591","Not Started","Artificial Intelligence (AI), Software","New York, New York, United States","Training gyms for AI agents","1,261","https://deeptune.ai/","—","Abstract, Inspired Capital Partners, Seven Seven Six, Gary Vaynerchuk, George Sivulka","Seven Seven Six"
"Dataro","Feb 17, 2026","$16,780,000","Not Started","Analytics, Artificial Intelligence (AI), Database","San Francisco, California, United States","The decision layer for your nonprofit's fundraising data.","1,281","https://dataro.io/","$1M to $10M","Basis Set Ventures, Blueprint Equity, Black Sheep Capital, Vu Tran, Save the Children International","Basis Set Ventures, Black Sheep Capital, Blueprint Equity, Save the Children International"
"Thermo Fisher Scientific","Feb 9, 2026","$19,766,434,812","Not Started","Bioinformatics, Biotechnology, Cloud Data Services, Consulting, Health Care, Life Science, Management Information Systems, Office Supplies, Precision Medicine","Waltham, Massachusetts, United States","Thermo Fisher Scientific is a biotechnology and laboratory equipment company that provides a wide range of scientific products and services.","1,297","https://www.thermofisher.com/","$10B+","National Grid","National Grid"
"Firecell","Feb 18, 2026","€14,500,000","Not Started","Telecommunications","Nice, Provence-Alpes-Cote d'Azur, France","Firecell is a Telecommunications Industry.","1,303","https://firecell.io/","$1M to $10M","Matterwave Ventures, Ventech, Cogito Capital Partners, Alchemist Accelerator, Qbic Fund","Alchemist Accelerator, Matterwave Ventures, Ventech"
"KeyCare","Mar 3, 2026","$54,400,000","Not Started","Health Care, Hospital","Chicago, Illinois, United States","KeyCare is a virtual care platform powered by Epic created to support progressive health systems.","1,313","https://www.keycare.org/","$1M to $10M","8VC, LRVHealth, HealthX Ventures, Exact Sciences, Bold Capital Partners","8VC, HealthX Ventures, Ziegler"
"Birches Health","Feb 9, 2026","$20,000,000","Not Started","Addiction Treatment, Gambling, Health Care","Phoenix, Arizona, United States","Birches Health provides therapy and support for those struggling with behavioral and process addictions.","1,321","https://bircheshealth.com/","$1M to $10M","General Catalyst, Defy.vc, AlleyCorp, Haystack, Operator Partners","AlleyCorp, General Catalyst, One Mind Accelerator"
"Greater Good Health","Mar 5, 2026","$53,500,000","Not Started","Elder Care, Health Care, Medical, Primary and Urgent Care, Wellness","Los Angeles, California, United States","Redefining care for the greater good—expanding access to high-quality, value-based healthcare for all.","1,324","https://www.greatergoodhealth.com/","$10M to $50M","Flare Capital Partners, LRVHealth, Optum Ventures, Health Velocity Capital, HSBC Innovation Banking","Allumia Ventures, Flare Capital Partners, Granite Financial Holdings, HSBC Innovation Banking, LRVHealth, Optum Ventures"
"Centauri Therapeutics","Feb 24, 2026","$55,441,154","Not Started","Biotechnology, Genetics, Health Care, Medical, Therapeutics","Alderley Park, Cheshire, United Kingdom","Centauri Therapeutics is a UK-based biotechnology company focused on the discovery and development of life threatening diseases.","1,327","http://www.centauritherapeutics.com/","$1M to $10M","Novo Holdings, Boehringer Ingelheim Venture Fund, Innovate UK, CARB-X, Evotec","AMR Action Fund, CARB-X, Innovate UK, PACE-AMR"
"Angitia Biopharmaceuticals","Feb 5, 2026","$406,000,000","Not Started","Biopharma, Biotechnology, Health Care, Medical","Westlake Village, California, United States","Angitia Biopharmaceuticals develops biologic therapies for musculoskeletal diseases.","1,329","https://angitiabio.com/","$10M to $50M","RA Capital Management, Wellington Management, BlackRock, Hillhouse Investment, Legend Capital","Bain Capital Life Sciences, Frazier Life Sciences, Hillhouse Ventures, Morningside, Morningside, Venrock Healthcare Capital Partners, Yuekai Securities"
"Electric Twin","Feb 12, 2026","$14,000,000","Not Started","Artificial Intelligence (AI), Information Technology, Software","London, England, United Kingdom","Electric Twin is an AI platform developing synthetic audience models designed to simulate real-world human thinking and behaviour.","1,335","https://electrictwin.com/","—","Tom Shinner, Louis Mosley, LocalGlobe, Atomico, Mercuri","Atomico"
"Equinix","Mar 5, 2026","$5,770,219,117","Not Started","Cloud Data Services, Data Center, Information Technology, Infrastructure, Internet, Software","Redwood City, California, United States","Equinix is an internet company that provides data center services for companies, businesses, and organizations.","1,351","http://www.equinix.com/","$1B to $10B","Microsoft, The Carlyle Group, Cisco, Benchmark, Crosslink Capital","Crosslink Capital, Elliott Management Corp."
"Integrate","Feb 11, 2026","$21,370,000","Not Started","Hardware, Software","Usk, Washington, United States","Integrate is a program management platform for the world's most ambitious machines.","1,356","http://integrate.co/","$1M to $10M","FPV Ventures, Riot Ventures, Village Global, FUSE, Hyperplane","AWS Space Accelerator, FPV Ventures, Hyperplane, Village Global"
"NODA AI","Feb 26, 2026","$25,000,000","Not Started","Software","Austin, Texas, United States","NODA AI builds defense focused algorithm using software for collaborative autonomous systems.","1,359","https://www.nodaintelligence.ai/","—","Alumni Ventures, Bessemer Venture Partners, Draper Associates, Bloomberg Beta, Booz Allen Ventures","Bessemer Venture Partners"
"Big Health","Feb 12, 2026","$158,803,689","Not Started","Alternative Medicine, Health Care, Medical, Mental Health, Therapeutics, Wellness","San Francisco, California, United States","Big Health is a digital therapeutics company operating a healthcare portal to offer behavioral programs for mental health issues.","1,363","https://www.bighealth.com/","$10M to $50M","Index Ventures, Octopus Ventures, .406 Ventures, AlleyCorp, SoftBank Vision Fund",".406 Ventures, AlleyCorp, Gilde Healthcare, Index Ventures, Morningside, Octopus Ventures, SoftBank Vision Fund"
"BreezeBio","Feb 25, 2026","$127,725,000","Not Started","Biotechnology, Genetics, Pharmaceutical, Therapeutics","South San Francisco, California, United States","BreezeBio is a biotechnology business that creates genetic therapies using precision, non-viral delivery across clinically important tissues","1,366","https://breezebio.com/","$1M to $10M","Pathway Investment, Sequoia Capital, Qiming Venture Partners, Eli Lilly, National Science Foundation","Bow Capital, DCVC Bio, DSC Investment, Eli Lilly, National Science Foundation, Qiming Venture Partners, Sequoia Capital, Yuanta Investment"
"RXO","Feb 11, 2026","$1,450,000,000","Not Started","Logistics, Supply Chain Management, Transportation","Charlotte, North Carolina, United States","RXO is a market leader in asset-light transportation.","1,372","https://rxo.com/","$1B to $10B","Orbis Investment Management, MFN Partners","MFN Partners"
"Utility Global","Feb 17, 2026","$186,000,000","Not Started","Clean Energy, Energy, Energy Efficiency, Energy Management, Renewable Energy","Houston, Texas, United States","Utility Global is an off-gas-to-value company that reduces emissions and improves energy efficiency through clean energy generation systems.","1,387","https://utilityglobal.com/","$1M to $10M","Aramco Ventures, Ara Partners, ArcelorMittal, Saudi Aramco, Saudi Aramco Energy Ventures","APG Asset Management, Ara Partners, Ontario Power Generation"
"Atlas Data Storage","Mar 5, 2026","$155,000,000","Not Started","Database, Data Management, Information Technology","South San Francisco, California, United States","Atlas Data Storage is an information technology company focused on data storage solutions.","1,388","https://www.atlasds.com/","—","ARCH Venture Partners, imec, Deerfield Management, Bezos Expeditions, IQT","imec"
"i-80 Gold","Feb 12, 2026","$816,994,218","Not Started","Mineral, Mining, Precious Metals","Reno, Nevada, United States","I-80 Gold is a mining company that focuses on gold production and development.","1,396","https://i80gold.com/","$50M to $100M","Orion Mine Finance, Franco-Nevada, Sprott Asset Management, Ron Clayton, Richard Young","Franco-Nevada, Orion Mine Finance"
"Clearly AI","Feb 10, 2026","$13,400,000","Not Started","Artificial Intelligence (AI), Privacy, Security","Seattle, Washington, United States","Clearly AI automates security and privacy reviews","1,408","https://www.clearly-ai.com/","—","Y Combinator, Basis Set Ventures, Crosspoint Capital Partners, RSA Conference, Argon Ventures","Basis Set Ventures, RSA Conference, Y Combinator"
"Evommune","Feb 12, 2026","$474,799,952","Not Started","Biotechnology, Health Care, Life Science","Palo Alto, California, United States","Evommune is a biotechnology company that develops therapeutics that halt progressive disease and address their symptoms.","1,413","https://www.evommune.com/","$1M to $10M","B Capital, RA Capital Management, EQT Life Sciences, Andera Partners, RTW Investments","Arix Bioscience, EQT Life Sciences, Pivotal bioVenture Partners, RA Capital Management, Sectoral Asset Management, SymBiosis, Verition Fund Management"
"Trinity College Dublin","Feb 25, 2026","€287,370,836","Not Started","Education, Public Relations, Universities","Dublin, Dublin, Ireland","Trinity College is a research university that offers degree and diploma courses across various academic disciplines.","1,416","http://www.tcd.ie/","$100M to $500M","European Investment Bank, Research Ireland, AIB, Disruptive Technologies Innovation Fund","AIB, Disruptive Technologies Innovation Fund, European Investment Bank, Research Ireland"
"Ascent Funding","Feb 19, 2026","$86,237,585","Not Started","Finance, Financial Services, FinTech, Lending","San Diego, California, United States","Ascent offers students opportunities to pay for higher education with or without a cosigner.","1,422","https://www.ascentfunding.com/","$10M to $50M","Endeavor, Framework Ventures, Stand Together Ventures Lab","Endeavor"
"University of Arkansas","Feb 13, 2026","$64,855,650","Not Started","Education, E-Learning, Higher Education","Fayetteville, Arkansas, United States","University of Arkansas provides undergraduate, graduate, and professional education across academic programs.","1,438","http://uark.edu/","$500M to $1B","National Science Foundation, US Department of Energy, U.S. Department of Agriculture, NASA, US Department of Commerce, Economic Development Administation","Arkansas department of human services, Arkansas Division of Higher Education, Army Research Laboratory, Federal Transit Administration, Greg Roberts, NASA, National Institute of Food and Agriculture, National Institute of Standards and Technology, National Science Foundation, The Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD), U.S. Department of Agriculture, US Department of Commerce, Economic Development Administation, US Department of Energy"
"Eightco Holdings","Feb 16, 2026","$298,110,002","Not Started","Blockchain, Business Development, Information Technology","Safety Harbor, Florida, United States","Eightco Holdings engages in leveraging blockchain technologies to disrupt consumer-facing industries.","1,440","https://www.cryptyde.com/","$10M to $50M","Kraken, World, Bitmine Immersion Technologies, Pantera Capital, FalconX","Bitmine Immersion Technologies, MOZAYYX"
"QuadSci","Feb 17, 2026","$8,000,000","Not Started","Analytics, Artificial Intelligence (AI), B2B, Predictive Analytics, Software","New York, New York, United States","QuadSci is predictive and prescriptive AI for customer intelligence and GTM teams.","1,444","https://www.quadsci.ai/","—","Alumni Ventures, Correlation Ventures, Crosslink Capital, Robert A. Eberle, Shail Jain","Crosslink Capital"
"Take2 AI","Feb 11, 2026","$19,000,000","Not Started","Employment, Generative AI, Information Technology, Recruiting, SaaS, Training","New York, New York, United States","Take2 AI automates phone screens with AI agents.","1,464","http://www.take2.ai/","$1M to $10M","Reach Capital, Techstars, Human Capital, J4.Ventures, SemperVirens Venture Capital","Aiinno Capital, Human Capital, Reach Capital, SemperVirens Venture Capital"
"Onshore","Feb 17, 2026","$43,500,000","Not Started","Artificial Intelligence (AI), Financial Services, Information Technology, Software, Tax Preparation","Wilmington, Delaware, United States","Onshore provides AI-powered software that automates corporate R&D tax credit and incentive analysis and reporting for businesses.","1,472","https://www.onshore.com/","$1M to $10M","FPV Ventures, Y Combinator, Vertex Ventures, Rebel Fund, Vertex Ventures US","FPV Ventures, Vertex Ventures US, Y Combinator"
"Chariot Defense","Feb 25, 2026","$42,000,000","Not Started","National Security","South San Francisco, California, United States","Chariot Defense is creating the advanced hardware and software framework to solve it.","1,476","https://www.chariotdefense.com/","—","Andreessen Horowitz, General Catalyst, Shield Capital, DCVC, XYZ Venture Capital","Andreessen Horowitz, General Catalyst, XYZ Venture Capital"
"Stardust Power","Feb 18, 2026","$35,550,000","Not Started","Battery, Electric Vehicle, Electronics, Manufacturing","Oklahoma City, Oklahoma, United States","Stardust Power specializes in manufacturing battery-grade lithium products that are produced sustainably for electric vehicles.","1,481","https://stardust-power.com/","—","B. Riley Financial","B. Riley Financial"
"Grotto AI","Feb 19, 2026","$14,687,988","Not Started","Artificial Intelligence (AI), Finance, Information Technology, Internet","New York, New York, United States","Grotto AI is an IT and Internet firm offering AI based tool for leasing and renewals.","1,489","https://www.grotto.ai/","—","ICONIQ Capital, Asymmetric Capital Partners, Caren Maio, Avi Dorfman, David Dear","ICONIQ Capital"
"Simile","Feb 12, 2026","$100,000,000","Not Started","Artificial Intelligence (AI), Customer Service, Online Portals","Palo Alto, California, United States","Simile provides a platform for automating and improving communication and collaboration through AI-driven tools.","1,492","https://simile.ai/","—","Index Ventures, Bain Capital Ventures, A*, Guillermo Rauch, Hanabi Capital","Index Ventures"
"Healthcare Triangle","Feb 26, 2026","$52,114,000","Not Started","Health Care, Information Technology, Wellness","Georgetown, Connecticut, United States","Healthcare Triangle is committed to supporting healthcare providers, hospitals, health systems, and pharmaceutical companies.","1,494","https://www.healthcaretriangle.com/","$10M to $50M","Spartan Capital Securities","Spartan Capital Securities"
"Tytan Technologies","Feb 24, 2026","€45,000,000","Not Started","Artificial Intelligence (AI), Security, Software","Munich, Bayern, Germany","Advanced AI defense systems designed to protect people and critical infrastructure","1,500","https://www.tytan-technologies.com/","—","Lakestar, Armira, OTB Ventures, Visionaries Club, NATO Innovation Fund","Armira, Magnetic Capital, NATO Innovation Fund"
"Reclaim Security","Mar 4, 2026","$26,000,000","Not Started","Artificial Intelligence (AI), Computer, Network Security","New York, New York, United States","Reclaim Security builds AI-powered software to automatically detect and fix security risks in an organization’s IT environment.","1,515","https://reclaim.security/","—","Acrew Capital, Ibex Investors, QP Ventures","Acrew Capital"
"Monark Markets","Feb 18, 2026","$14,381,720","Not Started","Asset Management, Finance, Financial Exchanges, Financial Services, FinTech, Hedge Funds, Marketplace, Personal Finance, Stock Exchanges, Wealth Management","New York, New York, United States","Monark Markets is the back-end infrastructure connecting brokerages, advisors and custodians to private markets.","1,517","https://monark-markets.com/","$1M to $10M","F-Prime, Garuda Ventures, Commerce Ventures, Forum Ventures, Right Side Capital Management","Forum Ventures, F-Prime, Garuda Ventures"
"The Very Group","Feb 16, 2026","£948,000,000","Not Started","E-Commerce, Financial Services, Retail, Retail Technology","Liverpool, Liverpool, United Kingdom","The Very Group is an integrated digital retailer and financial services provider.","1,523","https://theverygroup.com/","$1B to $10B","The Carlyle Group, Arini, International Media Investments, David Barclay, Frederick Barclay","Arini, David Barclay, Frederick Barclay, The Carlyle Group"
"Samaya AI","Feb 10, 2026","$43,500,000","Not Started","Artificial Intelligence (AI), Information Technology, Machine Learning","London, England, United Kingdom","Samaya AI specializes in developing AI research agents that streamline knowledge workflows.","1,527","https://samaya.ai/","$1M to $10M","Alumni Ventures, NVentures, New Enterprise Associates, Databricks Ventures, Jeff Dean","Databricks Ventures, New Enterprise Associates, NVentures"
"JetStream Security","Mar 3, 2026","$34,000,000","Not Started","Information Technology","Santa Clara, California, United States","JetStream Security is a platform for enterprise AI governance and security designed to manage, safeguard.","1,535","https://jetstream.security/","—","Redpoint, CrowdStrike Falcon Fund, Frederic Kerrest, Assaf Rappaport, George Kurtz","Redpoint"
"VoiceLine","Feb 24, 2026","€12,400,000","Not Started","Artificial Intelligence (AI), Information Technology, Messaging, Sales, Software","München, Bayern, Germany","VoiceLine is an AI-based field sales revenue intelligence tool that automates administrative tasks and provides actionable insights.","1,538","https://www.getvoiceline.com/","$1M to $10M","Alstin Capital, NAP, SCALEHOUSE Capital, Peak, Venture Stars","Alstin Capital, NAP, Peak, SCALEHOUSE Capital, Venture Stars"
"Equal Parts","Feb 10, 2026","$33,000,000","Not Started","Artificial Intelligence (AI), Insurance, InsurTech","Austin, Texas, United States","Equal Parts builds next-generation insurance agency.","1,542","https://www.equalparts.ai/","—","Max Ventures, Equal Ventures, Genius Ventures, Inspired Capital","Equal Ventures, Inspired Capital, Max Ventures"
"The Walt Disney Company","Feb 10, 2026","$15,000,000,000","Not Started","Amusement Park and Arcade, Animation, Consumer Goods, Digital Media, E-Commerce, Media and Entertainment, Multi-level Marketing, Performing Arts, Resorts","Burbank, California, United States","The Walt Disney Company started as a cartoon studio and evolves into sports coverage and television shows.","1,549","https://thewaltdisneycompany.com/","$10B+","Citibank","Citibank"
"Somethings","Feb 10, 2026","$28,582,577","Not Started","Health Care, Wellness","New York, New York, United States","Somethings is a platform for wellness tailored to young people that links youngsters with qualified mentors.","1,551","https://www.somethings.com/","$1M to $10M","General Catalyst, Gaingels, Plug and Play, Catalio Capital Management, Tau Ventures","Catalio Capital Management, General Catalyst"
"Rapidata","Feb 19, 2026","$11,549,952","Not Started","Cloud Data Services, Data Center Automation, Data Collection and Labeling, Software","Zürich, Zurich, Switzerland","Rapidata is a data processing platform that offers human-verified innovative datalabeling and data processing services at scale.","1,562","https://www.rapidata.ai/","$1M to $10M","BlueYard Capital, Canaan Partners, Acequia Capital (AceCap), Venture Kick, Innosuisse","BlueYard Capital, Canaan Partners, IA Ventures"
"Core Scientific","Mar 5, 2026","$2,057,900,000","Not Started","Artificial Intelligence (AI), Blockchain, Data Center, Data Mining, Software","Dover, Delaware, United States","Core Scientific is an AI infrastructure company that operates blockchain data centers and manufactures digital currency mining servers.","1,565","https://corescientific.com/","$500M to $1B","Morgan Stanley, B. Riley Financial, Bitmain, Celsius Network, Obsidian Investment Partners","Bitmain, B. Riley Financial, Celsius Network, Morgan Stanley"
"Syndex Bio","Feb 23, 2026","$15,500,000","Not Started","Artificial Intelligence (AI), Biotechnology, Health Care","Cambridge, Cambridgeshire, United Kingdom","Syndex Bio is a biotechnology platform offering molecular technologies and AI for the diagnosis and treatment of disease.","1,567","https://www.syndex.bio/","—","ARCH Venture Partners, +ND Capital, OMX Ventures, Meltwind Advisory","ARCH Venture Partners"
"Third Way Health","Feb 26, 2026","$16,550,000","Not Started","Artificial Intelligence (AI), Health Care, Hospital, Medical","Los Angeles, California, United States","Third Way Health is a healthcare operations partner that provides human-centric solutions to support administrative functions.","1,585","https://thirdway.health/","$1M to $10M","Health Velocity Capital, Astrana Health, MedPoint Management","Astrana Health, Health Velocity Capital, MedPoint Management"
"Sapiom","Feb 5, 2026","$15,750,000","Not Started","Artificial Intelligence (AI), Financial Services, Fraud Detection, Payments","San Francisco, California, United States","Sapiom gives AI agents trusted access to the API economy.","1,587","https://www.sapiom.ai/","—","Anthropic, Menlo Ventures, Accel, Plug and Play, Coinbase Ventures","Accel"
"OLIX","Feb 11, 2026","$250,000,000","Not Started","Artificial Intelligence (AI), Hardware, Machine Learning, Manufacturing, Optical Communication","London, England, United Kingdom","OLIX designs optical AI accelerators that use light-based processors for training and inference on large models.","1,594","https://olix.com/","—","Octopus Ventures, LocalGlobe, Entrepreneurs First, Vertex Ventures, Crane Venture Partners","Hummingbird Ventures"
"Ubyx","Feb 19, 2026","$10,000,000","Not Started","Blockchain, Cryptocurrency, Finance, Financial Services, Information Technology, Internet","London, England, United Kingdom","Ubyx enables stablecoin deposits from various issuers and blockchains to be redeemed at full value into existing bank and fintech accounts.","1,599","https://www.ubyx.xyz/","—","Coinbase, Founders Fund, Coinbase Ventures, VanEck, LayerZero Labs","AB Xelerate, Barclays, Galaxy Ventures"
"Contents","Feb 16, 2026","$34,327,506","Not Started","Artificial Intelligence (AI), Content, Generative AI, Information Technology, SaaS, Software","Milan, Lombardia, Italy","Contents is a Generative AI company that has developed a SaaS platform to support any business in content creation.","1,601","https://www.contents.com/","$10M to $50M","Thomson Reuters Ventures, Qatar Development Bank, Alkemia Capital, SideAngels, Azimut Digitech Fund","Alkemia Capital, Qatar Development Bank, SideAngels, Synergo Capital"
"Nimble Way","Feb 24, 2026","$47,000,000","Not Started","Big Data, Data Collection and Labeling, E-Commerce, Information Technology, Market Research, PaaS, Software","New York, New York, United States","Nimble is a revolutionary data collection platform that provides seamless and effortless data gathering solutions.","1,616","https://www.nimbleway.com/","$1M to $10M","Norwest, Databricks, Slow Ventures, Hetz Ventures, Target Global","Norwest"
"HawkEye 360","Mar 4, 2026","$585,300,000","Not Started","Aerospace, Analytics, Artificial Intelligence (AI), Navigation, Satellite Communication, Wireless","Herndon, Virginia, United States","HawkEye 360 detects, geolocates, and characterizesvarious RF signals using its satellite constellation in low Earth orbit.","1,671","http://www.he360.com/","$1M to $10M","Insight Partners, Alumni Ventures, BlackRock, Seraphim Space, Lockheed Martin Ventures","Airbus, Allied Minds, BlackRock, Center15 Capital, Esri, Insight Partners, Lockheed Martin Ventures, National Reconnaissance Office, NightDragon, Raytheon, Razor's Edge Ventures, Seraphim Space, Silicon Valley Bank"
"Uniswap Labs","Feb 11, 2026","$177,925,000","Not Started","Blockchain, Cryptocurrency, FinTech","New York, New York, United States","Uniswap Labs builds products for users to safely and securely access DeFi.","1,700","https://app.uniswap.org/","$10M to $50M","Andreessen Horowitz, BlackRock, Union Square Ventures, Paradigm, Variant","Andreessen Horowitz, Polychain"
"Blockbrain","Feb 12, 2026","€22,500,000","Not Started","Artificial Intelligence (AI), Business Process Automation (BPA), Chatbot, Knowledge Management, SaaS","Stuttgart, Baden-Wurttemberg, Germany","Blockbrain is a technology company that provides an AI platform and tools to help developers build, deploy, and manage applications.","1,703","https://blockbrain.ai/","—","HARTING Family Foundation, Plug and Play, Alstin Capital, Blockchain Founders Fund, Mätch VC","13books Capital, Alstin Capital, Giesecke+Devrient Ventures"
